,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
02/13/2020 00:07:32,15.3846149,6.153846,9.230768,10.76923,10.384613,40,36,40,40,40,1297.01819,1297.01819,1297.01819,1297.01819,4.95650959,1.01884782,0.011069173,1.07243955,99.77063,56.5269737,4.471428,3.43882751,37,49.46746
02/13/2020 00:17:32,9.230768,6.153846,6.153846,7.69230747,7.30769062,39,36,38,39,39,798.1645,798.1645,798.1645,798.1645,4.596057,0.8061466,0.0116536841,1.07682443,99.77056,55.72326,4.407852,3.50240326,37,49.4702263
02/13/2020 00:27:32,44.6153831,26.1538448,24.6153831,27.6923065,30.76923,47,41,43,42,47,3491.97119,3491.97119,3591.7417,3491.97119,18.5310555,10.8925276,0.0212467238,1.274021,99.77061,55.74718,4.40974426,3.50051117,37,49.4742126
02/13/2020 00:37:33,27.6923065,32.30769,23.0769215,18.4615364,25.3846111,42,39,46,43,46,3292.429,3491.97021,3591.74072,3292.429,17.3516331,9.990012,0.0156337265,1.34901023,99.77058,55.844593,4.41745,3.49280548,37,49.474926
02/13/2020 00:47:33,30.76923,24.6153831,19.9999981,30.76923,26.5384617,45,43,45,45,45,3292.4292,3491.97046,3392.2,3491.97046,19.1544228,11.4045467,0.0227739085,1.30974078,99.7705841,55.8472443,4.41765976,3.49259567,37,49.47744
02/13/2020 00:57:33,3.076923,7.69230747,6.153846,7.69230747,6.153846,42,37,39,40,43,1197.247,1197.247,1197.247,1197.247,4.480096,0.7130562,0.014882843,1.07678568,99.7705841,55.8209152,4.415577,3.4946785,37,49.4815063
02/13/2020 01:07:34,4.615384,7.69230747,12.3076916,7.69230747,8.076924,41,37,39,39,41,798.164856,798.164856,798.164856,798.164856,4.529404,0.774993837,0.013301773,1.08376348,99.77061,56.6607971,4.4820137,3.42824173,37,49.48546
02/13/2020 01:17:34,6.153846,3.076923,7.69230747,9.230768,6.53846264,41,37,40,39,41,798.1647,997.7059,997.7059,997.7059,4.636537,0.8387029,0.0115188221,1.0815028,99.7705841,54.1796837,4.28575134,3.624504,37,49.48587
02/13/2020 01:27:34,6.153846,13.8461533,7.69230747,4.615384,8.076924,41,38,40,38,40,997.706,997.706,997.706,997.706,4.89253426,0.8763135,0.0122304326,1.08296561,99.7706,54.23543,4.290161,3.6200943,37,49.48991
02/13/2020 01:37:34,1.53846145,9.230768,4.615384,9.230768,6.153846,40,38,40,37,40,798.164551,798.164551,798.164551,798.164551,4.707022,0.8349421,0.0112553462,1.07100344,99.77057,54.3021736,4.29544067,3.61481476,37,49.4938965
02/13/2020 01:47:35,6.153846,9.230768,9.230768,18.4615364,10.76923,40,37,39,37,40,798.1644,798.1644,798.1644,798.1644,4.717441,0.792151332,0.013202522,1.07696581,99.77055,54.3171234,4.296623,3.6136322,37,49.49714
02/13/2020 01:57:35,10.76923,4.615384,4.615384,6.153846,6.53846264,40,37,38,40,40,997.705566,997.705566,997.705566,997.705566,4.50526857,0.7104712,0.01661217,1.08803689,99.77056,54.2648,4.29248428,3.61777115,37,49.49762
02/13/2020 02:07:35,10.76923,9.230768,6.153846,6.153846,8.076924,40,37,40,37,40,997.705933,997.705933,997.705933,997.705933,4.55737257,0.6959297,0.0103024822,1.08236313,99.77059,55.18406,4.3652,3.54505539,37,49.5017548
02/13/2020 02:17:36,6.153846,9.230768,6.153846,13.8461533,8.846151,42,37,40,40,42,798.1647,798.1647,798.1647,798.1647,4.45754528,0.7017132,0.012013156,1.077562,99.7705841,60.2185745,4.763443,3.14681244,37,49.50529
02/13/2020 02:27:36,6.153846,6.153846,9.230768,13.8461533,8.846151,38,36,38,39,40,798.164734,798.164734,798.164734,798.164734,4.34913826,0.7164901,0.0131212063,1.07112384,99.77059,54.4580879,4.30777359,3.60248184,37,49.508297
02/13/2020 02:37:36,12.3076916,9.230768,7.69230747,15.3846149,11.153841,40,37,39,39,40,798.164551,798.164551,798.164551,798.164551,4.569102,0.808219969,0.0139089851,1.0860399,99.77057,54.50197,4.311245,3.59901047,37,49.5084152
02/13/2020 02:47:37,9.230768,7.69230747,7.69230747,4.615384,7.30769062,39,37,39,38,39,798.164734,798.164734,798.164734,798.164734,4.75926352,0.795220852,0.01218221,1.07691944,99.77059,54.6139946,4.32010651,3.590149,37,49.51239
02/13/2020 02:57:37,7.69230747,4.615384,9.230768,7.69230747,7.30769062,40,37,40,36,40,798.1644,798.1644,798.1644,798.1644,4.814371,0.8384904,0.01504642,1.07143807,99.77055,54.5976,4.31880951,3.591446,37,49.5156136
02/13/2020 03:07:37,21.53846,19.9999981,23.0769215,21.53846,21.53846,41,39,39,39,41,1197.24731,1197.24731,1197.24731,1197.24731,9.054634,4.02706766,0.0331916064,1.24053621,99.7706146,55.4520454,4.38639832,3.523857,37,49.55769
02/13/2020 03:17:37,47.6923065,39.9999962,41.53846,38.4615364,41.9230766,46,45,46,44,46,3491.97021,3491.97021,3491.97021,3491.97021,20.9130363,13.1919279,0.025520144,1.59591186,99.77058,57.6471367,4.56003571,3.35021973,37,49.5583534
02/13/2020 03:27:38,23.0769215,27.6923065,26.1538448,24.6153831,25.3846169,42,40,41,43,43,3292.4292,3491.97046,3292.4292,3292.4292,15.5258408,8.765906,0.017652791,1.349324,99.7705841,55.6496239,4.402027,3.5082283,37,49.5660858
02/13/2020 03:37:38,4.615384,3.076923,15.3846149,7.69230747,7.69230747,42,37,40,39,41,798.1647,798.1647,798.1647,798.1647,4.55167437,0.8336179,0.0114961024,1.07888818,99.7705841,54.65489,4.32334137,3.586914,37,49.56596
02/13/2020 03:47:38,6.153846,6.153846,21.53846,9.230768,10.7692242,40,39,40,41,41,798.1644,798.1644,798.1644,1696.09937,4.53302145,0.7560676,0.0138378739,1.08237553,99.77055,54.7953644,4.33445358,3.57580185,37,49.57008
02/13/2020 03:57:39,6.153846,0,10.76923,7.69230747,6.153846,41,37,39,37,41,798.1646,798.1646,798.1646,798.1646,4.35443735,0.784839451,0.0135827148,1.06488478,99.77058,54.7959442,4.33449936,3.575756,37,49.57073
02/13/2020 04:07:39,6.153846,7.69230747,3.076923,7.69230747,6.15385151,40,38,41,38,41,798.1648,798.1648,798.1648,798.1648,4.66054535,0.9652561,0.0101013761,1.07449615,99.7706,55.5963326,4.397812,3.51244354,37,49.5738678
02/13/2020 04:17:39,3.076923,10.76923,9.230768,13.8461533,9.230768,41,37,40,38,41,798.164734,798.164734,798.164734,798.164734,4.6171,0.8055096,0.0123989377,1.08508766,99.77059,54.7221146,4.328659,3.58159637,37,49.5768
02/13/2020 04:27:39,7.69230747,12.3076916,12.3076916,10.76923,10.76923,40,37,39,37,40,798.1648,798.1648,1696.10022,1696.10022,4.68457174,0.794675648,0.0140240416,1.08165681,99.7706,54.80188,4.33496857,3.57528687,37,49.58079
