,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
01/26/2020 00:04:48,7.69230747,9.230768,1.53846145,1.53846145,5.000001,39,36,39,37,39,798.172,798.172,798.172,798.172,4.64635944,0.7393688,0.00692857,1.0333209,99.7715,48.92459,3.87006,4.04019547,37,48.62753
01/26/2020 00:09:49,10.76923,9.230768,4.615384,7.69230747,8.076924,40,37,41,38,41,997.715,997.715,997.715,997.715,4.7677865,0.75849396,0.006543356,1.042773,99.77151,49.06878,3.881466,4.02878952,37,48.6273766
01/26/2020 00:14:49,7.69230747,7.69230747,9.230768,1.53846145,6.53846264,38,35,39,37,39,798.1717,798.1717,798.1717,798.1717,4.61846447,0.7371396,0.006085092,1.036514,99.77146,49.0184822,3.87748718,4.03276825,37,48.6309624
01/26/2020 00:19:49,13.8461533,13.8461533,7.69230747,1.53846145,9.230768,39,37,40,39,40,798.172,798.172,798.172,798.172,4.77892447,0.7923262,0.00621172134,1.03627193,99.7715,49.01829,3.877472,4.03278351,37,48.6304169
01/26/2020 00:24:49,3.076923,3.076923,9.230768,12.3076916,6.92307949,38,36,39,38,39,798.172,798.172,798.172,798.172,5.014023,0.7833807,0.00737214135,1.03868639,99.7715,49.0081177,3.876667,4.03358841,37,48.6307373
01/26/2020 00:29:49,12.3076916,7.69230747,7.69230747,3.076923,7.692313,40,37,40,39,40,798.1718,798.1718,798.1718,798.1718,4.79445,0.7950986,0.00614534039,1.04199672,99.77148,49.0119247,3.87696838,4.033287,37,48.6311531
01/26/2020 00:34:49,4.615384,12.3076916,7.69230747,6.153846,7.69230747,39,36,40,39,40,798.171936,798.171936,798.171936,798.171936,4.5249505,0.6844093,0.005898524,1.0321213,99.77149,49.05465,3.88034821,4.029907,37,48.6348
01/26/2020 00:39:49,4.615384,3.076923,3.076923,6.153846,4.23076725,40,36,38,38,40,798.172241,798.172241,798.172241,798.172241,4.592723,0.723171055,0.005838335,1.03416777,99.77153,49.10427,3.88427353,4.025982,37,48.6351471
01/26/2020 00:44:50,21.53846,52.30769,24.6153831,30.76923,32.30769,43,45,42,41,45,3691.54565,3591.77417,3292.45972,3492.00269,21.4001465,13.0540352,0.0101117557,1.07094324,99.77151,49.1756,3.88991547,4.02034,37,48.6387
