,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
02/02/2020 00:04:45,10.76923,4.615384,7.69230747,6.153846,7.30769062,38,35,38,38,39,798.1719,798.1719,798.1719,798.1719,3.83330441,0.5898729,0.005275822,1.03544,99.7714844,60.7368431,4.80443954,3.105816,37,50.5449562
02/02/2020 00:09:45,10.76923,6.153846,6.153846,6.153846,7.30769062,39,37,40,40,39,798.172,798.172,798.172,798.172,4.39699125,0.6942427,0.00488012331,1.03717685,99.7715,60.9890633,4.82439041,3.085865,37,50.5479546
02/02/2020 00:14:45,9.230768,3.076923,4.615384,7.69230747,6.153846,38,37,39,38,39,798.1719,798.1719,798.1719,798.1719,4.54420567,0.795643032,0.005427717,1.05068541,99.7714844,60.81106,4.81031036,3.099945,37,50.54817
02/02/2020 00:19:45,6.153846,10.76923,6.153846,6.153846,7.30769062,39,36,40,40,40,798.172,798.172,798.172,798.172,4.26010656,0.68369925,0.00602484355,1.04030979,99.7715,60.90833,4.81800461,3.09225082,37,50.5486259
02/02/2020 00:24:45,7.69230747,7.69230747,10.76923,10.76923,9.230768,38,36,38,38,38,798.172058,798.172058,798.172058,798.172058,4.24408054,0.633934,0.00415714225,1.04633462,99.77151,60.8416862,4.8127327,3.09752274,37,50.55217
02/02/2020 00:29:46,6.153846,4.615384,4.615384,4.615384,4.999995,39,37,40,37,40,798.171936,798.171936,798.171936,798.171936,4.24185133,0.6529725,0.004699378,1.04537058,99.77149,60.8126068,4.81043243,3.099823,37,50.55261
02/02/2020 00:34:46,7.69230747,6.153846,7.69230747,3.076923,6.153846,39,36,39,39,39,798.1721,798.1721,798.1721,997.7151,4.19653273,0.623697639,0.0050859726,1.04329038,99.7715149,60.7570038,4.806034,3.10422134,37,50.5528374
02/02/2020 00:39:46,6.153846,6.153846,6.153846,7.69230747,6.53846264,39,36,38,38,39,798.1721,798.1721,798.1721,798.1721,4.345043,0.697236836,0.005020444,1.04479671,99.7715149,60.879734,4.81574249,3.094513,37,50.5590668
02/02/2020 00:44:46,52.30769,39.9999962,27.6923065,58.4615364,44.6153831,44,41,43,44,45,3492.00146,3591.773,3492.00146,3292.45874,24.0865021,15.7651892,0.00987099949,1.60271323,99.77148,60.9807663,4.82373428,3.08652115,37,50.5594063
02/02/2020 00:49:46,3.076923,15.3846149,9.230768,7.69230747,8.846158,39,36,38,39,39,798.171753,798.171753,798.171753,798.171753,4.27510548,0.689405,0.005597579,1.03338528,99.77147,60.84974,4.81336975,3.09688568,37,50.5596924
02/02/2020 00:54:46,49.2307663,23.0769215,18.4615364,12.3076916,25.769228,42,43,44,42,44,3492.00122,3492.00122,3292.45825,3292.45825,16.1850071,9.036539,0.0104728891,1.32253337,99.77146,60.95699,4.82185364,3.08840179,37,50.56003
02/02/2020 00:59:46,4.615384,6.153846,7.69230747,3.076923,5.384612,39,36,40,37,40,798.1718,798.1718,798.1718,798.1718,4.40734959,0.6769839,0.006235062,1.04617155,99.77148,60.8748665,4.815357,3.09489822,37,50.560463
02/02/2020 01:04:47,6.153846,7.69230747,3.076923,4.615384,5.384618,40,37,40,40,40,1197.2572,1197.2572,1197.2572,1197.2572,4.29761648,0.672251165,0.00481512165,1.03157961,99.77144,60.99581,4.82492447,3.085331,37,50.5642624
02/02/2020 01:09:47,0,4.615384,6.153846,6.153846,4.23076725,39,37,39,39,41,798.1715,798.1715,798.1715,798.1715,3.8868382,0.568054736,0.00591785973,1.04285836,99.77144,61.02441,4.82718658,3.08306885,37,50.5711632
02/02/2020 01:14:47,7.69230747,9.230768,6.153846,4.615384,6.923074,39,36,39,39,40,798.1719,997.7149,997.7149,997.7149,4.73806953,0.869536459,0.00592947472,1.04310834,99.7714844,61.0321236,4.827797,3.0824585,37,50.5711479
02/02/2020 01:19:47,3.076923,4.615384,4.615384,9.230768,5.384612,39,35,40,40,40,798.171936,798.171936,798.171936,798.171936,4.712366,0.8082036,0.0063136206,1.036456,99.77149,60.93934,4.82045746,3.089798,37,50.5715752
02/02/2020 01:24:47,12.3076916,4.615384,3.076923,4.615384,6.15384,39,36,39,42,42,798.172058,798.172058,798.172058,798.172058,4.410306,0.70328,0.00626583723,1.04055071,99.77151,60.9691429,4.822815,3.08744049,37,50.5719147
02/02/2020 01:29:47,47.6923065,10.76923,9.230768,12.3076916,19.9999981,40,36,40,40,41,798.1715,798.1715,798.1715,798.1715,15.0823765,8.4097805,0.00719430251,1.10096812,99.77144,60.92555,4.81936646,3.090889,37,50.572113
02/02/2020 01:34:47,13.8461533,4.615384,4.615384,7.69230747,7.69230747,40,36,39,40,40,1496.57251,1496.57251,1496.57251,1496.57251,4.68709946,0.800213039,0.00535682263,1.05523384,99.7715,61.003,4.825493,3.08476257,37,50.5725861
02/02/2020 01:39:48,12.3076916,1.53846145,4.615384,1.53846145,5.000001,39,35,40,39,40,997.714966,997.714966,997.714966,997.714966,4.28456736,0.6615881,0.00409689359,1.04729855,99.77149,60.9595,4.822052,3.08820343,37,50.572773
02/02/2020 01:44:48,4.615384,6.153846,10.76923,9.230768,7.69230127,38,36,40,39,40,997.7147,997.7147,997.7147,997.7147,4.58236074,0.7862633,0.005706701,1.05381751,99.77147,61.04818,4.829067,3.0811882,37,50.5758743
02/02/2020 01:49:48,6.153846,9.230768,6.153846,7.69230747,7.30769062,39,35,39,37,39,798.1719,798.1719,798.1719,798.1719,4.508254,0.7254377,0.00573492376,1.04888737,99.7714844,60.93688,4.820263,3.08999252,37,50.5751953
02/02/2020 01:54:48,4.615384,9.230768,0,4.615384,4.615384,39,36,39,37,40,798.1717,798.1717,798.1717,798.1717,4.172972,0.691933632,0.00470867427,1.04049635,99.77146,60.95048,4.82133865,3.08891678,37,50.5756721
02/02/2020 01:59:48,16.9230766,6.153846,7.69230747,9.230768,10.0000019,39,36,39,39,39,798.1719,798.1719,798.1719,798.1719,4.5757513,0.7677964,0.00396856153,1.06032753,99.7714844,60.96133,4.822197,3.08805847,37,50.57925
02/02/2020 02:04:48,1.53846145,6.153846,4.615384,9.230768,5.384612,39,36,39,39,39,997.714966,997.714966,997.714966,997.714966,4.149551,0.5623589,0.004398136,1.043021,99.77149,61.0495834,4.829178,3.08107758,37,50.5796776
02/02/2020 02:09:48,19.9999981,9.230768,9.230768,13.8461533,13.0769253,40,38,40,42,41,3492.00415,3492.00415,3492.00415,3492.00415,6.234526,2.15113974,0.00742521742,1.13303983,99.7715454,59.7175636,4.723812,3.18644333,37,50.58774
02/02/2020 02:14:49,13.8461533,9.230768,7.69230747,4.615384,8.846151,39,36,39,41,41,798.1721,798.1721,798.1721,798.1721,4.45976543,0.709869266,0.00511606643,1.06558645,99.7715149,58.4235077,4.62144852,3.288807,38,50.58806
02/02/2020 02:19:49,7.69230747,9.230768,3.076923,6.153846,6.538457,40,36,40,41,41,1197.25818,1197.25818,1197.25818,1197.25818,4.331563,0.6901875,0.00409285352,1.03476965,99.7715149,58.3968353,4.619339,3.29091644,38,50.58757
02/02/2020 02:24:49,13.8461533,3.076923,7.69230747,4.615384,7.30769062,41,38,40,42,42,798.1719,798.1719,798.1719,798.1719,4.93785763,0.943768144,0.006007053,1.0789268,99.7714844,58.5051041,4.627903,3.28235245,39,50.5879974
