,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
03/03/2020 00:09:32,1.53846145,4.615384,7.69230747,15.3846149,7.30769634,39,37,39,36,39,798.166931,798.166931,798.166931,798.166931,4.32017851,0.678962231,0.00527582131,1.02752614,99.77087,28.3467712,2.242302,5.66795349,37,49.0525475
03/03/2020 00:19:33,4.615384,3.076923,4.615384,9.230768,5.384612,39,36,37,37,38,798.1384,798.1384,798.1384,798.1384,4.14709,0.5767372,0.00294345641,1.00888467,99.7673,28.19809,2.23054123,5.679714,37,49.05246
03/03/2020 00:29:33,4.615384,4.615384,6.153846,9.230768,6.153846,40,37,38,37,39,997.709045,997.709045,997.709045,997.709045,4.03427029,0.600451767,0.00540786935,1.02095819,99.7709045,28.30178,2.23874283,5.6715126,37,49.0536
03/03/2020 00:39:33,9.230768,1.53846145,13.8461533,6.153846,7.69230747,39,36,38,36,39,798.1673,798.1673,798.1673,798.1673,4.12708855,0.5946447,0.005440807,1.02529645,99.77091,28.16491,2.22791672,5.68233871,37,49.05342
03/03/2020 00:49:34,6.153846,1.53846145,18.4615364,4.615384,7.69230747,39,37,38,37,38,798.1665,798.1665,798.1665,798.1665,4.19206047,0.62662375,0.006235062,1.01961255,99.77081,28.1930313,2.23014069,5.68011475,37,49.05417
03/03/2020 00:59:34,6.153846,13.8461533,4.615384,9.230768,8.4615345,38,37,37,36,38,798.1674,798.1674,798.1674,798.1674,4.310015,0.614228964,0.00523644453,1.02857018,99.77093,28.17427,2.22865677,5.68159866,37,49.0548134
03/03/2020 01:09:34,6.153846,3.076923,4.615384,9.230768,5.769229,38,36,38,37,40,798.1671,798.1671,798.1671,798.1671,4.22871733,0.600556433,0.00481987465,1.01849985,99.77089,28.1691589,2.22825241,5.682003,37,49.05448
03/03/2020 01:19:34,9.230768,7.69230747,1.53846145,9.230768,6.92307949,39,35,39,37,40,798.167053,798.167053,798.167053,798.167053,4.300265,0.6156133,0.00541701168,1.02802849,99.77088,28.3078537,2.23922348,5.671032,37,49.05521
03/03/2020 01:29:35,3.076923,4.615384,6.153846,12.3076916,6.53846264,39,36,38,37,39,798.166748,798.166748,798.166748,798.166748,4.37399626,0.6275307,0.005717957,1.020264,99.77084,28.1748047,2.22869873,5.6815567,37,49.05577
03/03/2020 01:39:35,4.615384,9.230768,6.153846,3.076923,5.769229,39,36,38,36,38,798.167053,798.167053,798.167053,798.167053,4.127155,0.5376373,0.005705005,1.014124,99.77088,28.3803329,2.244957,5.66529846,37,49.05649
03/03/2020 01:49:35,19.9999981,26.1538448,43.07692,26.1538448,28.8461571,41,41,43,43,43,3491.98145,3591.75244,3491.98145,3491.98145,20.96104,12.6456137,0.00991688,1.11797512,99.7709,28.4891281,2.253563,5.6566925,37,49.0561447
03/03/2020 01:59:36,29.2307682,7.69230747,27.6923065,29.2307682,23.4615383,41,40,41,42,42,3591.75146,3591.75146,3491.98071,3491.98071,14.8399906,8.090891,0.008270364,1.2854681,99.770874,28.3338013,2.24127579,5.66897964,37,49.0566826
03/03/2020 02:09:36,7.69230747,13.8461533,3.076923,6.153846,7.69230747,41,38,40,38,40,798.167664,798.167664,798.167664,798.167664,4.05965567,0.607976139,0.00468089432,1.02331555,99.77096,28.302063,2.23876572,5.67148972,37,49.0574455
03/03/2020 02:19:36,4.615384,10.76923,6.153846,10.76923,8.076918,38,38,39,38,39,798.167358,798.167358,798.167358,798.167358,4.28934431,0.6404707,0.0054277177,1.02173769,99.77092,28.283783,2.23732,5.67293549,37,49.05635
03/03/2020 02:29:36,4.615384,6.153846,7.69230747,3.076923,5.384612,39,37,39,37,39,798.1668,798.1668,798.1668,798.1668,4.002906,0.503134668,0.0059043467,1.01355946,99.77085,28.29338,2.238079,5.67217636,37,49.05702
03/03/2020 02:39:37,6.153846,1.53846145,6.153846,13.8461533,6.92307949,39,37,40,38,40,997.709,997.709,997.709,997.709,4.169515,0.578027,0.005171156,1.02635419,99.7709,28.3855438,2.245369,5.66488647,37,49.0578079
03/03/2020 02:49:37,6.153846,6.153846,4.615384,9.230768,6.53846264,39,36,38,36,41,798.167,798.167,798.167,798.167,4.10830975,0.5605229,0.00526031945,1.02384949,99.770874,28.27771,2.23683929,5.673416,37,49.0582733
03/03/2020 02:59:37,3.076923,7.69230747,15.3846149,10.76923,9.230768,39,35,39,36,39,798.167053,798.167053,798.167053,798.167053,4.24952555,0.5701104,0.00385209732,1.020565,99.77088,28.2435226,2.23413467,5.67612076,37,49.0581665
