,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
02/19/2020 00:08:47,1.53846145,6.153846,7.69230747,7.69230747,5.76923466,40,38,39,37,40,798.172058,798.172058,798.172058,798.172058,4.36770725,0.739478052,0.00442873873,1.02728534,99.77151,29.9740219,2.37102127,5.539234,37,48.8035164
02/19/2020 00:18:47,6.153846,1.53846145,3.076923,18.4615364,7.30769062,40,37,39,38,40,798.1716,798.1716,798.1716,798.1716,4.109961,0.54958266,0.005358877,1.02932119,99.77145,29.0006485,2.29402542,5.61623,37,48.80338
02/19/2020 00:28:47,7.69230747,3.076923,7.69230747,7.69230747,6.53846264,39,38,39,38,40,1197.25793,1197.25793,1197.25793,1197.25793,4.05491066,0.5985156,0.00637733238,1.02853847,99.77149,28.978035,2.29223633,5.618019,37,48.8040161
02/19/2020 00:38:47,7.69230747,4.615384,6.153846,7.69230747,6.53846264,39,37,38,38,40,798.1715,798.1715,798.1715,798.1715,4.10065174,0.530088067,0.004865289,1.030887,99.77144,29.8733215,2.36305618,5.54719925,37,48.8046875
02/19/2020 00:48:48,12.3076916,6.153846,1.53846145,7.69230747,6.92307949,39,38,39,37,39,798.171753,798.171753,798.171753,798.171753,4.336378,0.649800658,0.005657768,1.028209,99.77147,28.9503937,2.29005051,5.620205,37,48.8044357
02/19/2020 00:58:48,12.3076916,1.53846145,3.076923,7.69230747,6.15385151,39,37,38,37,39,798.1718,798.1718,798.1718,798.1718,3.977751,0.549285,0.004805643,1.02185988,99.77148,28.9110489,2.28693771,5.62331772,37,48.8050537
02/19/2020 01:08:48,7.69230747,9.230768,4.615384,4.615384,6.538457,40,38,39,40,40,997.7152,997.7152,997.7152,997.7152,4.217142,0.606487,0.00480229268,1.02197647,99.77152,29.92044,2.36678314,5.54347229,37,48.8056831
02/19/2020 01:18:48,7.69230747,7.69230747,7.69230747,4.615384,6.923074,39,36,38,38,39,997.715,997.715,997.715,997.715,4.08009338,0.5619849,0.0043937983,1.02688491,99.7715,28.9879684,2.29302216,5.61723328,37,48.805294
02/19/2020 01:28:49,6.153846,4.615384,16.9230766,9.230768,9.230768,40,37,39,38,39,798.1719,798.1719,798.1719,798.1719,4.263987,0.591754854,0.005946983,1.0248034,99.7714844,28.9624557,2.29100418,5.61925125,37,48.8064728
02/19/2020 01:38:49,4.615384,7.69230747,13.8461533,9.230768,8.846151,39,37,39,39,39,997.7152,997.7152,997.7152,997.7152,4.11939764,0.639153838,0.0050959643,1.04053593,99.77152,29.9159088,2.36642456,5.543831,37,48.80663
02/19/2020 01:48:49,9.230768,1.53846145,7.69230747,7.69230747,6.53846264,38,37,39,37,40,1496.573,1496.573,1496.573,1496.573,4.22864771,0.6883915,0.00534102041,1.02097511,99.77154,28.9320221,2.288597,5.62165833,37,48.8072548
02/19/2020 01:58:50,7.69230747,13.8461533,0,6.153846,6.923074,38,38,39,37,39,997.715,997.715,997.715,997.715,4.203654,0.6118831,0.005241614,1.0261513,99.7715,28.9277344,2.2882576,5.621998,37,48.8070831
02/19/2020 02:08:50,9.230768,10.76923,12.3076916,4.615384,9.230768,39,39,39,37,40,1696.11609,1696.11609,1696.11609,1696.11609,4.277408,0.7027395,0.004648307,1.03337288,99.77154,29.979805,2.371479,5.5387764,37,48.807682
02/19/2020 02:18:50,33.8461533,23.0769215,32.30769,30.76923,30.0000019,46,40,41,40,45,3591.77515,3492.00366,3492.00366,3492.00366,13.72013,7.5581665,0.006996887,1.33193672,99.77153,29.149765,2.30582047,5.604435,37,48.8084335
02/19/2020 02:28:51,33.8461533,21.53846,19.9999981,30.76923,26.5384617,42,40,42,42,42,3392.23,3292.4585,3292.4585,3292.4585,14.8552275,8.383165,0.008237772,1.34858942,99.77147,29.0389938,2.297058,5.61319733,37,48.8083344
