,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
03/01/2020 00:06:26,4.615384,6.153846,3.076923,3.076923,4.23077345,40,38,40,39,40,1297.0293,1297.0293,1297.0293,1297.0293,4.531526,0.742822,0.0078014913,1.04137909,99.7714844,46.77917,3.70035172,4.20990372,37,52.00562
03/01/2020 00:16:26,6.153846,1.53846145,12.3076916,9.230768,7.30769634,40,38,40,39,41,997.714844,997.714844,997.714844,997.714844,4.434948,0.741090238,0.00672790036,1.03531575,99.7714844,46.93619,3.71277237,4.197483,37,52.0101624
03/01/2020 00:26:26,4.615384,9.230768,12.3076916,13.8461533,10.0000019,40,38,39,40,41,798.182861,798.182861,798.182861,798.182861,4.254436,0.64804095,0.005826842,1.03669739,99.77286,46.82161,3.70370865,4.206547,37,52.010376
03/01/2020 00:36:27,4.615384,3.076923,12.3076916,10.76923,7.69230747,40,37,39,38,41,798.172058,798.172058,798.172058,798.172058,4.173289,0.6296564,0.005964595,1.03392339,99.77151,46.7719345,3.69977951,4.210476,37,52.01352
03/01/2020 00:46:27,7.69230747,1.53846145,3.076923,4.615384,4.23076725,38,39,39,39,40,798.1719,798.1719,798.1719,798.1719,4.023636,0.536825836,0.005898524,1.040006,99.7714844,46.8180351,3.70342636,4.206829,37,52.0175819
03/01/2020 00:56:27,6.153846,10.76923,4.615384,3.076923,6.153846,40,38,39,37,40,798.172241,798.172241,798.172241,798.172241,4.078539,0.6070691,0.005599235,1.03641844,99.77153,46.85194,3.706108,4.20414734,37,52.0182381
03/01/2020 01:06:28,10.76923,3.076923,6.153846,6.153846,6.53846264,40,36,39,37,39,798.172,798.172,798.172,798.172,4.311186,0.659897447,0.00647487259,1.03316188,99.7715,46.8219452,3.70373535,4.20652,37,52.0219536
03/01/2020 01:16:28,3.076923,3.076923,10.76923,10.76923,6.923074,39,39,40,38,40,1496.57263,1496.57263,1496.57263,1496.57263,4.53407431,0.6528338,0.00591018144,1.04061413,99.77151,46.9040222,3.710228,4.20002747,37,52.0250854
03/01/2020 01:26:28,12.3076916,6.153846,6.153846,7.69230747,8.076924,40,37,40,38,41,1696.11536,1696.11536,1696.11536,1696.11536,4.121746,0.624491036,0.005974309,1.03501976,99.77149,46.82585,3.70404434,4.206211,37,52.02575
03/01/2020 01:36:28,7.69230747,13.8461533,3.076923,7.69230747,8.076924,40,36,38,38,39,798.171936,798.171936,798.171936,798.171936,4.281907,0.6057423,0.005838335,1.03868186,99.77149,46.8762436,3.7080307,4.20222473,37,52.02923
03/01/2020 01:46:29,6.153846,10.76923,7.69230747,13.8461533,9.615385,40,37,39,37,40,798.172241,798.172241,798.172241,798.172241,4.265503,0.59198904,0.00459703337,1.03971589,99.77153,46.8539658,3.70626831,4.203987,37,52.0324249
03/01/2020 01:56:29,10.76923,10.76923,7.69230747,7.69230747,9.230768,38,37,38,36,39,997.7145,997.7145,997.7145,997.7145,4.55809546,0.68845886,0.00518136565,1.04308116,99.77145,46.8263321,3.70408249,4.206173,37,52.0330467
03/01/2020 02:06:29,9.230768,7.69230747,7.69230747,9.230768,8.4615345,39,36,38,39,39,798.171753,798.171753,798.171753,798.171753,4.2685523,0.6381894,0.00558656,1.03309309,99.77147,46.80902,3.702713,4.20754242,37,52.0370369
03/01/2020 02:16:30,50.7692337,32.30769,46.1538429,39.9999962,42.3076859,45,46,45,46,46,3492.00146,3492.00146,3492.00146,3492.00146,24.2762623,15.84315,0.0134108244,1.57502675,99.77147,47.09393,3.72525024,4.185005,37,52.04126
03/01/2020 02:26:30,26.1538448,13.8461533,38.4615364,16.9230766,23.84615,42,45,46,44,44,3492.003,3591.77466,3691.54614,3492.003,16.9699059,9.612374,0.0102659548,1.30552483,99.7715149,47.0324478,3.72038651,4.189869,37,52.04082
03/01/2020 02:36:30,52.30769,19.9999981,23.0769215,7.69230747,25.7692337,44,41,43,42,44,3492.00269,3492.00269,3492.00269,3492.00269,19.5912838,11.77218,0.0246496834,1.20872331,99.77151,46.89679,3.70965576,4.20059967,37,52.04493
03/01/2020 02:46:31,6.153846,0,10.76923,9.230768,6.53846264,40,38,39,40,40,2594.06079,2594.06079,2594.06079,2594.06079,4.501357,0.739147842,0.007915988,1.03433561,99.77157,47.00409,3.71814346,4.192112,37,52.0483932
03/01/2020 02:56:31,4.615384,10.76923,10.76923,12.3076916,9.615385,41,37,41,37,41,997.715149,997.715149,997.715149,997.715149,4.1901,0.6882882,0.005886913,1.04084218,99.7715149,47.01933,3.719349,4.19090652,37,52.0482254
03/01/2020 03:06:31,3.076923,3.076923,4.615384,6.153846,4.23076725,39,37,40,39,40,798.1718,798.1718,798.1718,798.1718,4.162708,0.6154827,0.00606712373,1.04348516,99.77148,46.8029442,3.70223236,4.208023,38,52.09057
