,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
12/31/2019 00:01:06,7.69230747,3.076923,4.615384,0,3.84615064,40,37,39,39,41,798.1593,798.1593,798.1593,798.1593,4.29528475,0.5963302,0.00514651928,1.04177654,99.76991,43.39331,3.43252182,4.47773361,37,48.6027527
12/31/2019 00:06:06,12.3076916,12.3076916,12.3076916,56.92308,23.4615383,42,38,42,41,43,798.159241,798.159241,798.159241,798.159241,16.3936787,9.192122,0.008025753,1.36521661,99.7699051,44.3454132,3.50783539,4.40242,37,48.6070251
12/31/2019 00:11:06,10.76923,10.76923,18.4615364,10.76923,12.6923084,39,37,40,38,40,1895.63135,1895.63135,1895.63135,1895.63135,4.574414,0.7878523,0.004834191,1.03536284,99.77007,43.4829636,3.43961334,4.470642,37,48.6064758
12/31/2019 00:16:06,7.69230747,6.153846,19.9999981,6.153846,10.0000019,40,38,41,42,42,798.1599,798.1599,798.1599,798.1599,4.15650225,0.6567942,0.005390432,1.03927529,99.76999,43.6550751,3.453228,4.45702744,37,48.605793
12/31/2019 00:21:06,12.3076916,7.69230747,13.8461533,3.076923,9.230768,38,36,40,37,40,798.160339,798.160339,798.160339,798.160339,4.529906,0.6893914,0.00526761357,1.0408684,99.77004,43.54146,3.44424057,4.466015,37,48.6095963
12/31/2019 00:26:07,3.076923,7.69230747,9.230768,7.69230747,6.923074,39,37,40,39,41,798.1594,798.1594,798.1594,798.1594,4.15184355,0.643156648,0.005553821,1.02914715,99.76993,43.58901,3.44800186,4.46225357,37,48.6099243
12/31/2019 00:31:07,12.3076916,1.53846145,12.3076916,18.4615364,11.1538467,38,36,40,37,40,798.103943,798.103943,798.103943,798.103943,4.216492,0.6397469,0.005910181,1.04127741,99.76299,43.5825958,3.44749451,4.462761,37,48.6100922
12/31/2019 00:36:07,13.8461533,6.153846,6.153846,3.076923,7.30769634,38,37,40,38,40,798.160034,798.160034,798.160034,798.160034,4.30725431,0.6437373,0.00473160064,1.04712129,99.7700043,43.61008,3.449669,4.46058655,37,48.614006
12/31/2019 00:41:07,13.8461533,4.615384,6.153846,6.153846,7.69230747,40,37,41,40,40,1197.23926,1197.23926,1197.23926,1197.23926,4.515262,0.7606732,0.0054063485,1.04270446,99.76994,43.711113,3.45766068,4.45259476,37,48.6142349
12/31/2019 00:46:07,12.3076916,9.230768,15.3846149,9.230768,11.5384579,39,37,40,38,40,798.16,798.16,798.16,798.16,4.496059,0.7333942,0.0059659495,1.03073716,99.77,43.65339,3.45309448,4.457161,37,48.6167831
12/31/2019 00:51:08,15.3846149,7.69230747,7.69230747,13.8461533,11.1538467,39,36,40,37,40,997.7,997.7,997.7,997.7,4.77607441,0.8132334,0.00560310436,1.04121351,99.7700043,43.82174,3.46641159,4.443844,37,48.6169777
