,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
02/26/2020 00:03:38,57.8125,21.875,48.4375,42.1875,42.578125,43,42,44,44,44,3492.0022,3492.0022,3492.0022,3492.0022,23.3049183,14.9686737,0.0111025,1.44030881,99.77149,39.28698,3.10770035,4.802555,36,51.693924
02/26/2020 00:13:38,29.2307682,7.69230747,46.1538429,19.9999981,25.769228,41,39,41,43,43,1297.02917,2594.05835,2594.05835,2594.05835,17.81026,10.2719955,0.0102533195,1.32975793,99.77148,39.2833633,3.10741425,4.802841,36,51.7031441
02/26/2020 00:23:38,60.0000038,12.3076916,12.3076916,15.3846149,25,51,49,48,51,51,3492.001,3492.001,3292.45825,3492.001,19.3179073,11.10686,0.009750621,1.00973094,99.77146,50.3177528,3.98026276,3.92999268,37,51.70986
02/26/2020 00:33:39,30.3030319,12.121212,10.6060619,31.818182,21.2121181,57,51,51,55,58,3492.00244,3492.00244,3492.00244,3492.00244,13.0566692,6.815127,0.00765005127,1.07432592,99.7715,50.7020531,4.010662,3.89959335,37,51.7147942
02/26/2020 00:43:39,72.30769,12.3076916,9.230768,10.76923,26.1538448,58,54,53,54,58,3492.00171,3492.00171,3492.00171,3292.45874,20.1101742,11.9170666,0.011662486,1.02678216,99.77148,51.937233,4.108368,3.80188751,37,51.71574
02/26/2020 00:53:39,46.1538429,7.69230747,27.6923065,29.2307682,27.6923,56,52,55,55,56,3492.002,3492.002,3492.002,3492.002,23.1462135,14.5231953,0.01234677,1.05087984,99.7714844,51.4382553,4.06889725,3.84135818,37,51.7205353
02/26/2020 01:03:39,6.153846,6.153846,7.69230747,18.4615364,9.615385,43,39,41,42,43,798.172058,798.172058,798.172058,798.172058,4.396208,0.655924737,0.0059043467,1.037719,99.77151,40.5568352,3.208149,4.70210648,38,51.7247162
02/26/2020 01:13:40,7.69230747,6.153846,13.8461533,1.53846145,7.30769634,40,37,38,40,41,798.1718,798.1718,798.1718,798.1718,4.957201,1.04895175,0.00684804143,1.09508586,99.77148,39.96314,3.16118622,4.749069,37,51.7273521
02/26/2020 01:23:40,6.153846,10.76923,9.230768,12.3076916,9.615385,40,37,39,39,39,798.1717,798.1717,798.1717,798.1717,4.170578,0.548012257,0.00527284527,1.02178049,99.77146,39.72105,3.14203644,4.768219,37,51.7312965
