,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
02/27/2020 00:04:20,15.3846149,3.076923,10.76923,9.230768,9.615385,38,36,38,40,40,997.715332,997.715332,997.715332,997.715332,3.94914675,0.557969332,0.00494525349,1.03964913,99.77154,40.6154251,3.21278381,4.69747162,36,52.0869331
02/27/2020 00:14:20,7.69230747,6.153846,12.3076916,3.076923,7.30769634,39,36,38,36,38,798.1719,798.1719,798.1719,997.714844,4.377925,0.649701655,0.00589271262,1.032728,99.7714844,40.7412453,3.22273636,4.687519,36,52.08739
02/27/2020 00:24:20,55.22388,14.9253731,43.28358,26.8656731,35.0746269,45,40,46,43,46,3292.45874,3492.00171,3492.00171,3492.00171,18.7959251,11.0464964,0.009089823,1.459684,99.77148,40.85264,3.23154831,4.678707,36,52.0916
02/27/2020 00:34:21,72.30769,3.076923,7.69230747,9.230768,23.0769272,45,41,42,42,45,3591.77417,3492.00269,3492.00269,3392.2312,16.9712811,9.742386,0.008542077,1.274301,99.77151,40.75296,3.22366333,4.686592,36,52.0953064
02/27/2020 00:44:21,12.3076916,7.69230747,3.076923,7.69230747,7.69230747,39,38,38,39,40,997.7147,997.7147,997.7147,997.7147,4.19508266,0.6108594,0.00536740944,1.038081,99.77147,40.825634,3.229412,4.68084335,36,52.0949478
02/27/2020 00:54:21,10.76923,4.615384,6.153846,10.76923,8.076918,40,37,39,37,40,798.1717,798.1717,798.1717,798.1717,4.16003227,0.644075036,0.00490920059,1.02990186,99.77146,40.6888237,3.21858978,4.69166565,36,52.0991325
02/27/2020 01:04:21,10.76923,4.615384,6.153846,6.153846,6.923074,41,37,38,39,39,798.1715,798.1715,798.1715,798.1715,3.98868322,0.5138433,0.005045925,1.0371778,99.77144,40.6707878,3.217163,4.69309235,36,52.1031227
02/27/2020 01:14:22,9.230768,1.53846145,4.615384,12.3076916,6.923074,42,38,39,38,42,1297.02991,1297.02991,1297.02991,1297.02991,4.19336843,0.587204,0.00547720026,1.04921484,99.77153,40.8099632,3.2281723,4.682083,36,52.1023865
02/27/2020 01:24:22,6.153846,3.076923,13.8461533,7.69230747,7.69230747,41,37,40,42,42,2194.97388,2194.97388,2194.97388,2194.97388,4.54082775,0.773547769,0.008101548,1.04041874,99.7715454,40.8695221,3.23288345,4.677372,36,52.1064758
02/27/2020 01:34:22,9.230768,3.076923,7.69230747,9.230768,7.30769634,40,36,40,38,40,798.172241,798.172241,798.172241,798.172241,4.27970934,0.617628336,0.00489461841,1.03844464,99.77153,40.8028259,3.22760773,4.68264771,36,52.1104965
02/27/2020 01:44:23,15.3846149,6.153846,10.76923,6.153846,9.615385,40,37,39,39,39,798.1715,798.1715,798.1715,798.1715,4.64719439,0.8255526,0.00409285352,1.03922355,99.77144,40.890255,3.23452377,4.67573166,36,52.1103
