,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
12/28/2019 00:04:01,16.9230766,4.615384,9.230768,6.153846,9.230768,41,37,39,40,41,798.160034,798.160034,798.160034,798.160034,4.723013,0.7168827,0.00568432128,1.03969228,99.7700043,69.04466,5.461609,2.44864655,37,46.5454178
12/28/2019 00:09:01,12.3076916,4.615384,7.69230747,6.153846,7.69230747,39,37,38,39,39,798.1597,798.1597,798.1597,798.1597,4.470012,0.7138837,0.0059043467,1.02597058,99.7699661,69.23032,5.47629547,2.43396,37,46.54565
12/28/2019 00:14:01,13.8461533,6.153846,7.69230747,3.076923,7.692313,38,36,39,39,39,798.160156,798.160156,798.160156,798.160156,4.40493345,0.6434808,0.005055878,1.0321815,99.77002,69.2632141,5.478897,2.43135834,37,46.546
12/28/2019 00:19:01,7.69230747,7.69230747,6.153846,6.153846,6.923074,39,37,39,37,39,798.160034,798.160034,997.7,997.7,4.540275,0.635871768,0.006012972,1.04679835,99.7700043,69.39723,5.489498,2.42075729,37,46.54534
12/28/2019 00:24:01,7.69230747,9.230768,7.69230747,9.230768,8.4615345,40,37,39,39,39,798.1601,798.1601,798.1601,798.1601,4.60570431,0.757954538,0.0101220319,1.03963459,99.77001,69.4207153,5.491356,2.41889954,37,46.5457649
12/28/2019 00:29:01,4.615384,6.153846,6.153846,7.69230747,6.153846,39,36,38,37,39,1496.55042,1496.55042,1496.55042,1496.55042,4.21967173,0.5764904,0.0046345545,1.04686761,99.7700348,69.47386,5.49555969,2.41469574,37,46.5459671
12/28/2019 00:34:01,6.153846,9.230768,10.76923,9.230768,8.846151,40,36,39,38,38,997.70105,997.70105,997.70105,997.70105,4.382483,0.6638247,0.005055878,1.03970516,99.7701,69.50776,5.49824142,2.412014,37,46.5463142
12/28/2019 00:39:02,12.3076916,1.53846145,4.615384,9.230768,6.92307949,40,37,39,39,39,798.16,798.16,798.16,798.16,4.36058,0.6381893,0.00480564265,1.0410223,99.77,69.61212,5.50649643,2.403759,37,46.5465279
12/28/2019 00:44:02,9.230768,3.076923,9.230768,9.230768,7.69230127,38,37,39,37,39,798.1598,798.1598,798.1598,798.1598,4.55260134,0.6895676,0.00535154529,1.0347122,99.76997,69.5877151,5.504566,2.40568924,37,46.54682
