,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
01/29/2020 00:01:57,4.615384,13.8461533,6.153846,19.9999981,11.1538467,40,37,40,39,40,997.714539,997.714539,997.714539,997.714539,5.197813,1.29636562,0.0149416123,1.09766626,99.7714539,59.18801,4.681923,3.22833252,37,48.84646
01/29/2020 00:06:57,3.076923,10.76923,9.230768,12.3076916,8.846151,41,37,40,41,41,798.172,798.172,798.172,798.172,5.144909,1.2034719,0.0115416311,1.10225606,99.7715,60.1956673,4.761631,3.14862442,37,48.8468246
01/29/2020 00:11:57,6.153846,10.76923,6.153846,13.8461533,9.230768,41,37,40,41,41,997.7146,997.7146,997.7146,997.7146,5.102608,1.16128528,0.0152729489,1.08504081,99.7714539,59.4533958,4.702915,3.20734024,37,48.85072
01/29/2020 00:16:57,6.153846,4.615384,4.615384,18.4615364,8.4615345,40,37,40,38,41,997.7145,997.7145,997.7145,997.7145,5.15873766,1.1654886,0.0152579164,1.09154177,99.77145,59.40078,4.69875336,3.211502,37,48.8503342
01/29/2020 00:21:57,7.69230747,15.3846149,6.153846,10.76923,9.999996,40,37,40,42,42,798.1722,798.1722,798.1722,798.1722,5.09707451,1.09124863,0.0109821,1.08680773,99.77152,59.3321533,4.693325,3.21693039,37,48.85409
01/29/2020 00:26:58,7.69230747,6.153846,13.8461533,15.3846149,10.7692356,41,37,40,42,42,798.171753,798.171753,798.171753,798.171753,5.01380539,1.151115,0.0134221511,1.0881573,99.77147,59.39586,4.69836426,3.21189117,37,48.8545456
01/29/2020 00:31:58,6.153846,15.3846149,4.615384,18.4615364,11.1538467,39,37,40,40,41,997.714844,997.714844,997.714844,997.714844,5.00357,1.13805032,0.0112887453,1.09567225,99.7714844,59.414814,4.69986343,3.210392,37,48.85495
01/29/2020 00:36:58,6.153846,6.153846,10.76923,12.3076916,8.846151,41,37,40,41,41,798.172058,798.172058,798.172058,798.172058,5.328203,1.26593816,0.0140330484,1.083811,99.77151,60.303257,4.7701416,3.14011383,37,48.8578568
01/29/2020 00:41:58,10.76923,16.9230766,3.076923,15.3846149,11.5384579,39,36,39,40,41,798.1719,798.1719,798.1719,798.1719,5.010778,1.12215447,0.0127224326,1.07972646,99.7714844,59.50567,4.70705032,3.203205,37,48.85816
