Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
12/20/2019 07:20:59,12.3076916,21.53846,10.76923,12.3076916,14.23077,41,40,40,42,42,1496.55432,1496.55432,1496.55432,1496.55432,6.96646643,1.71629715,0.338415474,1.49813759,99.7702942,43.9710426,3.478222,4.43203354,37,48.0304031
12/20/2019 07:21:00,15.3846149,21.53846,16.9230766,16.9230766,17.6923027,41,39,41,42,42,798.161865,798.161865,798.161865,798.161865,7.23537636,2.0211935,0.3303279,1.49803913,99.77023,43.97495,3.478531,4.43172455,37,48.0304031
12/20/2019 07:21:01,16.9230766,35.384613,9.230768,19.9999981,20.3846149,40,39,41,42,42,2394.48828,2394.48828,2394.48828,2394.48828,7.47155428,1.84289086,0.494465023,1.719923,99.77035,43.87744,3.47081757,4.439438,37,48.0304031
12/20/2019 07:21:02,7.69230747,12.3076916,13.8461533,10.76923,11.1538467,40,40,40,41,41,997.7024,997.7024,997.7024,997.7024,6.85185766,1.79519773,0.3271273,1.50448477,99.77024,43.8775864,3.470829,4.43942642,37,48.0304031
12/20/2019 07:21:03,16.9230766,23.0769215,18.4615364,15.3846149,18.4615364,40,39,40,41,42,1496.55383,1496.55383,1496.55383,1496.55383,6.937644,1.78356719,0.381388336,1.56572461,99.770256,43.876667,3.47075653,4.439499,37,48.0304031
12/20/2019 07:21:04,21.53846,19.9999981,10.76923,7.69230747,14.9999981,40,38,39,41,41,798.162354,798.162354,798.162354,798.162354,7.29547167,1.94954813,0.360415041,1.53673339,99.7702942,43.88718,3.47158813,4.4386673,37,48.0304031
12/20/2019 07:21:05,12.3076916,26.1538448,12.3076916,9.230768,14.9999981,41,40,40,42,42,1895.63586,1895.63586,1895.63586,1895.63586,8.004228,2.43795943,0.445861876,1.52380741,99.77031,43.9894676,3.479679,4.43057632,37,48.0304031
12/20/2019 07:21:06,56.92308,38.4615364,27.6923065,24.6153831,36.9230728,43,43,44,46,46,3591.73047,3392.1897,3591.73047,3491.96,19.92693,11.7984514,0.5274148,1.69274008,99.77029,44.1310043,3.49087524,4.41938,37,48.0304031
12/20/2019 07:21:07,56.92308,53.8461571,33.8461533,56.92308,50.3846169,45,43,45,46,46,3491.95972,3392.18945,3491.95972,3491.95972,26.854414,17.6140156,0.5135327,2.02716613,99.77028,43.96868,3.478035,4.43222046,37,48.0304031
12/20/2019 07:21:08,38.4615364,46.1538429,38.4615364,44.6153831,41.9230766,45,49,45,46,49,3591.72925,3491.959,3591.72925,3491.959,24.6764145,15.3619833,0.6106778,1.87091553,99.770256,44.0943527,3.487976,4.42227936,37,48.0304031
12/20/2019 07:21:09,66.15385,29.2307682,32.30769,27.6923065,38.8461456,48,44,45,48,48,3491.95923,3491.95923,3491.95923,3292.4187,24.9723644,15.7170382,0.69927603,1.8216207,99.77026,44.1531372,3.49262619,4.41762924,37,48.0304031
12/20/2019 07:21:10,41.53846,35.384613,23.0769215,49.2307663,37.3076935,45,42,42,47,47,3292.42017,3491.961,3292.42017,3491.961,22.2654228,13.8751335,0.1030436,1.69408011,99.77031,43.9777946,3.478756,4.43149948,37,48.0304031
12/20/2019 07:21:11,63.0769272,38.4615364,32.30769,49.2307663,45.7692261,47,43,44,46,47,3491.959,3292.41846,3491.959,3491.959,26.0957928,16.8951187,0.6284937,1.93513715,99.770256,43.9873466,3.47951126,4.430744,37,48.0304031
12/20/2019 07:21:12,35.384613,29.2307682,19.9999981,36.9230728,30.384613,45,45,46,46,46,3491.95947,3491.95947,3491.95947,3491.95947,20.5693588,12.2186842,0.476625383,1.655145,99.77027,44.1552124,3.49279022,4.417465,37,48.0304031
12/20/2019 07:21:13,50.7692337,46.1538429,35.384613,35.384613,41.9230766,44,43,43,46,46,3591.73,3491.95972,3691.50024,3691.50024,21.7160282,13.4665918,0.23131904,1.83660221,99.77028,44.0270844,3.48265457,4.427601,37,48.0304031
12/20/2019 07:31:14,15.3846149,41.53846,41.53846,12.3076916,27.6923065,44,42,44,44,44,798.1618,798.1618,798.1618,798.1618,17.644104,9.989591,0.7229396,1.71754539,99.7702255,48.310833,3.82151031,4.088745,37,48.0396233
12/20/2019 07:41:14,21.53846,32.30769,10.76923,7.69230747,18.07692,44,41,42,46,46,1197.2439,1197.2439,1197.2439,1197.2439,7.33842564,1.84503424,0.503962636,1.65212834,99.7703247,48.33379,3.823326,4.08692932,37,48.0846939
12/20/2019 07:51:14,13.8461533,12.3076916,12.3076916,15.3846149,13.4615421,45,40,43,44,45,798.1622,798.1622,798.1622,798.1622,6.01749325,1.28353262,0.324558318,1.43758786,99.77027,43.8985138,3.47248459,4.437771,37,48.0851059
12/20/2019 07:51:52,15.3846149,19.9999981,7.69230747,12.3076916,13.8461533,45,40,41,43,43,798.162,798.162,798.162,798.162,6.446906,1.66868043,0.2422608,1.4112519,99.77025,44.8735237,3.54961014,4.36064529,38,48.0852547
12/20/2019 07:51:53,12.3076916,13.8461533,10.76923,18.4615364,13.8461533,44,39,40,43,44,997.7031,997.7031,997.7031,997.7031,5.675587,1.25508285,0.137857661,1.26736069,99.77032,44.97306,3.55748367,4.35277176,38,48.0852547
12/20/2019 07:51:54,16.6666679,22.7272758,7.575756,3.03030014,12.5,44,41,40,43,44,798.1623,798.1623,798.1623,798.1623,6.111535,1.23892486,0.3306828,1.44180584,99.77029,44.973587,3.55752563,4.35273,38,48.0852547
12/20/2019 07:51:55,4.6875,20.3125,14.0625,15.625,13.671875,44,40,41,43,44,798.162,798.162,798.162,798.162,5.984776,1.18635273,0.3166056,1.4334178,99.77025,44.9014435,3.55181885,4.35843658,38,48.0852547
12/20/2019 07:51:56,13.8461533,21.53846,16.9230766,15.3846149,16.923069,44,40,42,43,44,798.1625,798.1625,798.1625,798.1625,6.764092,1.662917,0.378299922,1.53356373,99.77031,44.9606628,3.5565033,4.353752,38,48.0852547
12/20/2019 07:51:57,15.3846149,29.2307682,10.76923,7.69230747,15.7692318,44,39,43,42,44,798.1617,798.1617,798.1617,798.1617,6.587335,1.55288351,0.34894976,1.50290477,99.77021,44.9735374,3.55752182,4.35273361,38,48.0852547
