,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
01/02/2020 00:02:30,13.8461533,9.230768,15.3846149,15.3846149,13.4615421,40,37,39,39,40,798.158936,798.158936,798.158936,798.158936,4.466616,0.6831338,0.005171156,1.04469371,99.76987,57.7892075,4.571274,3.33898163,37,49.4510727
01/02/2020 00:07:30,7.69230747,10.76923,3.076923,6.153846,6.923074,40,37,41,40,41,1496.63879,1496.63879,1496.63879,1496.63879,4.424977,0.781507432,0.005075901,1.041466,99.77592,57.9665756,4.58530426,3.32495117,37,49.4514771
01/02/2020 00:12:30,9.230768,9.230768,6.153846,9.230768,8.4615345,41,37,40,38,41,997.700134,997.700134,997.700134,997.700134,4.38838959,0.6890809,0.00461533,1.04209292,99.77001,57.90649,4.580551,3.32970428,37,49.4510155
01/02/2020 00:17:30,12.3076916,1.53846145,9.230768,3.076923,6.53846264,39,38,40,37,40,798.159851,798.159851,798.159851,798.159851,4.20067072,0.633762538,0.00513632875,1.03058922,99.76998,57.87664,4.57819,3.33206558,37,49.45467
01/02/2020 00:22:31,4.615384,6.153846,4.615384,4.615384,4.999995,39,37,40,37,40,798.16,798.16,798.16,798.16,4.226157,0.679044962,0.00637375051,1.02304709,99.77,57.8463058,4.57579041,3.334465,37,49.4583473
01/02/2020 00:27:31,12.3076916,6.153846,3.076923,3.076923,6.153846,39,38,41,40,41,798.1597,798.1597,798.1597,798.1597,4.200312,0.7100338,0.00504592527,1.02660549,99.7699661,57.9266,4.582142,3.32811356,37,49.4592056
01/02/2020 00:32:31,7.69230747,6.153846,7.69230747,10.76923,8.076924,40,36,39,39,40,798.1597,798.1597,798.1597,798.1597,4.28234863,0.6164918,0.00533577474,1.04497242,99.7699661,57.8274,4.574295,3.33596039,37,49.459
01/02/2020 00:37:31,6.153846,7.69230747,9.230768,6.153846,7.30769062,40,37,41,37,41,1696.0907,1696.0907,1696.0907,1696.0907,4.65048,0.7848998,0.00627823267,1.03554618,99.77004,58.04494,4.591503,3.31875229,37,49.4627075
01/02/2020 00:42:31,10.76923,4.615384,16.9230766,6.153846,9.615385,40,38,40,37,40,1696.09009,1696.09009,1696.09009,1696.09009,4.286963,0.677246869,0.0048753107,1.0416913,99.7700043,57.8824272,4.57864761,3.33160782,37,49.46291
