,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
01/04/2020 00:03:54,6.153846,10.76923,4.615384,6.153846,6.923074,39,37,40,37,40,798.159241,798.159241,798.159241,798.159241,4.00462532,0.5474246,0.005461043,0.994690061,99.7699051,37.565258,2.971508,4.93874741,37,50.4206657
01/04/2020 00:08:54,13.8461533,4.615384,6.153846,12.3076916,9.230768,38,36,39,37,39,997.6999,997.6999,997.6999,997.6999,4.29953,0.6860927,0.0112999231,1.00823116,99.76999,37.52494,2.968319,4.94193649,37,50.4200821
01/04/2020 00:13:54,9.230768,3.076923,6.153846,15.3846149,8.4615345,39,37,40,38,40,997.700134,798.1601,798.1601,798.1601,4.40929747,0.691892445,0.006247336,0.9951886,99.77001,37.6245766,2.9762,4.93405533,37,50.4202
01/04/2020 00:18:54,12.3076916,7.69230747,4.615384,7.69230747,8.076924,39,37,39,37,39,798.1601,798.1601,798.1601,798.1601,4.55909538,0.839591265,0.009440366,1.014208,99.77001,37.6731377,2.9800415,4.930214,37,50.4237251
01/04/2020 00:23:55,10.76923,13.8461533,1.53846145,4.615384,7.69230747,38,38,37,37,39,798.160034,798.160034,798.160034,798.160034,4.15548944,0.5446687,0.00449643936,0.990295768,99.7700043,37.70762,2.982769,4.92748642,37,50.4239044
01/04/2020 00:28:55,26.1538448,23.0769215,24.6153831,24.6153831,24.6153831,39,39,41,42,42,3292.411,3491.951,3292.411,3292.411,9.915896,4.59534645,0.0375115573,1.27074921,99.77003,37.9952278,3.00551987,4.90473557,37,50.42748
01/04/2020 00:33:55,9.230768,9.230768,7.69230747,6.153846,8.076924,39,37,39,39,39,798.1596,798.1596,798.1596,798.1596,4.200853,0.619507432,0.00901058,1.01158786,99.76995,37.672802,2.9800148,4.93024063,37,50.42786
01/04/2020 00:38:55,39.9999962,26.1538448,46.1538429,61.53846,43.4615364,43,41,42,45,45,3491.949,3491.949,3491.949,3491.949,23.1751366,14.6468782,0.007997253,1.77262414,99.7699661,37.8976746,2.99780273,4.9124527,37,50.4281769
01/04/2020 00:43:55,7.69230747,4.615384,7.69230747,6.153846,6.53846264,38,37,38,38,39,798.159363,798.159363,798.159363,798.159363,4.415446,0.7674356,0.009019458,1.00687218,99.76992,37.7371826,2.98510742,4.925148,37,50.4310455
01/04/2020 00:48:55,10.76923,4.615384,7.69230747,12.3076916,8.846151,39,38,41,40,41,798.159363,798.159363,798.159363,798.159363,6.173329,2.13881159,0.00720846467,1.01459134,99.76992,37.92521,2.999981,4.91027451,37,50.43154
01/04/2020 00:53:55,10.76923,0,12.3076916,7.69230747,7.69230747,38,37,38,38,39,997.699768,997.699768,997.699768,997.699768,4.063927,0.5990724,0.007576345,1.02298689,99.76997,38.8796234,3.0754776,4.834778,37,50.43167
01/04/2020 00:58:56,9.230768,4.615384,4.615384,4.615384,5.769229,40,37,39,39,39,798.159546,798.159546,798.159546,798.159546,3.70565724,0.531950533,0.00517625548,0.997452438,99.76994,38.14256,3.01717377,4.89308167,37,50.4321251
