,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
12/22/2019 00:04:49,4.615384,15.3846149,4.615384,7.69230747,8.076924,38,36,38,40,40,997.6998,997.6998,997.6998,997.6998,4.239767,0.6075974,0.00821812451,1.03064954,99.76998,29.8559113,2.361679,5.54857635,37,46.5523262
12/22/2019 00:09:49,9.230768,1.53846145,12.3076916,4.615384,6.923074,39,35,38,38,39,798.1601,798.1601,798.1601,798.1601,4.03278446,0.591959,0.00680135936,1.023093,99.77001,28.9669418,2.291359,5.61889648,37,46.55179
12/22/2019 00:14:49,9.230768,3.076923,4.615384,7.69230747,6.153846,39,35,39,37,39,798.1601,798.1601,798.1601,798.1601,4.255484,0.6248222,0.005055878,1.01918066,99.77001,28.7705231,2.27582169,5.63443375,37,46.55172
12/22/2019 00:19:49,10.76923,18.4615364,4.615384,3.076923,9.230768,38,36,37,40,40,798.160156,798.160156,798.160156,798.160156,4.19104052,0.5936498,0.00467629638,1.02458847,99.77002,28.9032822,2.28632355,5.623932,37,46.5521278
12/22/2019 00:24:49,0,1.53846145,7.69230747,6.153846,3.8461566,38,34,38,37,38,798.159241,798.159241,798.159241,798.159241,4.099474,0.6005058,0.00469474355,1.01508784,99.7699051,28.82415,2.28006363,5.630192,37,46.5524445
12/22/2019 00:29:50,6.153846,7.69230747,7.69230747,13.8461533,8.846158,39,37,38,39,39,798.16,798.16,798.16,798.16,4.050962,0.607788742,0.00728287129,1.02905166,99.77,28.88472,2.284855,5.62540054,37,46.55279
12/22/2019 00:34:50,6.153846,7.69230747,4.615384,6.153846,6.153846,38,35,37,37,38,798.1602,798.1602,798.1602,798.1602,4.022974,0.5432661,0.006500414,1.0165323,99.77003,28.831955,2.28068161,5.629574,37,46.55292
12/22/2019 00:39:50,9.230768,9.230768,6.153846,3.076923,6.92307949,39,35,38,38,39,798.1596,798.1596,798.1596,798.1596,4.38195324,0.629858851,0.00523128547,1.02497125,99.76995,28.8541412,2.28243637,5.627819,37,46.55338
12/22/2019 00:44:50,6.153846,7.69230747,3.076923,4.615384,5.384618,39,36,36,37,39,798.1584,798.1584,798.1584,798.1584,3.80259824,0.4464599,0.005488025,1.023969,99.7698,28.9025574,2.28626633,5.623989,37,46.552742
12/22/2019 00:49:50,3.076923,12.3076916,9.230768,7.69230747,8.076924,38,35,38,39,39,798.160156,798.160156,798.160156,798.160156,3.85294771,0.5497067,0.00488012331,1.00801659,99.77002,28.896965,2.28582382,5.62443161,37,46.5532951
12/22/2019 00:54:50,6.153846,9.230768,7.69230747,4.615384,6.923074,38,36,38,38,38,997.6999,997.6999,997.6999,997.6999,4.31828833,0.6128795,0.006079326,1.01769114,99.76999,28.8601227,2.28290939,5.627346,37,46.55349
12/22/2019 00:59:51,7.69230747,1.53846145,7.69230747,9.230768,6.53846264,39,35,39,37,39,798.160156,798.160156,798.160156,798.160156,4.227452,0.6447185,0.00494037149,1.01789737,99.77002,28.84893,2.28202438,5.628231,37,46.55382
12/22/2019 01:04:51,9.230768,13.8461533,33.8461533,18.4615364,18.8461475,40,36,45,41,43,3491.95142,3491.95142,3591.72168,3491.95142,9.837623,4.34654045,0.04243561,1.15563869,99.77004,29.8665771,2.36252213,5.54773331,37,46.55396
12/22/2019 01:09:51,4.615384,9.230768,7.69230747,4.615384,6.53846264,39,35,38,37,39,798.160034,798.160034,798.160034,798.160034,4.181663,0.578385,0.00626583723,1.01572835,99.7700043,28.9272461,2.28821945,5.622036,37,46.5542374
12/22/2019 01:14:51,27.6923065,16.9230766,36.9230728,26.1538448,26.9230785,40,38,47,44,47,3491.94971,3491.94971,3292.40967,3591.71973,16.7620182,9.694636,0.0100614885,1.23491216,99.76999,29.0918884,2.30124283,5.6090126,37,46.5532761
12/22/2019 01:19:51,6.153846,7.69230747,15.3846149,6.153846,8.846158,38,36,37,39,39,798.1598,798.1598,798.1598,798.1598,4.2310667,0.633934,0.005844098,1.02368116,99.76997,28.86364,2.28318787,5.62706757,37,46.55369
12/22/2019 01:24:51,9.230768,0,10.76923,10.76923,7.69230747,40,36,38,39,40,798.1602,798.1602,798.1602,798.1602,4.29606152,0.6099544,0.005855659,1.02244639,99.77003,28.98951,2.29314423,5.617111,37,46.5539474
12/22/2019 01:29:51,7.69230747,3.076923,6.153846,13.8461533,7.69230747,38,35,37,40,40,798.1599,798.1599,798.1599,798.1599,4.2648735,0.6145299,0.00511606643,1.02363467,99.76999,28.8949432,2.2856636,5.624592,37,46.55434
12/22/2019 01:34:52,12.3076916,7.69230747,7.69230747,3.076923,7.692313,39,36,38,38,40,798.159668,798.159668,798.159668,798.159668,4.404562,0.6855991,0.004569859,1.02010071,99.76996,28.9483261,2.28988647,5.620369,37,46.5546455
12/22/2019 01:39:52,3.076923,4.615384,7.69230747,7.69230747,5.76923466,39,35,38,39,39,798.159241,798.159241,798.159241,798.159241,3.99883819,0.5197322,0.005898524,1.02489865,99.7699051,28.8812027,2.28457642,5.625679,37,46.5550041
12/22/2019 01:44:52,12.3076916,1.53846145,10.76923,1.53846145,6.53846264,39,36,38,37,39,798.16,798.16,798.16,798.16,4.010214,0.5882273,0.00607909076,1.03049624,99.77,28.8885269,2.28515625,5.625099,37,46.555397
