,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
01/07/2020 00:01:00,7.69230747,3.076923,18.4615364,7.69230747,9.230768,41,37,40,40,41,798.1599,798.1599,798.1599,798.1599,4.78796434,0.7920822,0.009607955,1.03300619,99.76999,87.96359,6.958145,0.9521103,41,51.058094
01/07/2020 00:06:00,15.3846149,12.3076916,6.153846,3.076923,9.230768,41,38,40,40,41,1696.09033,1696.09033,1696.09033,1696.09033,4.479567,0.705221236,0.0052623935,1.0232029,99.77002,93.06104,7.36136627,0.54888916,41,51.05898
01/07/2020 00:11:00,7.69230747,9.230768,9.230768,7.69230747,8.461541,40,36,40,38,40,798.159851,798.159851,798.159851,798.159851,4.46176434,0.7151922,0.009046195,1.00424826,99.76998,88.07572,6.96701431,0.9432411,41,51.0593758
01/07/2020 00:16:00,18.4615364,12.3076916,13.8461533,12.3076916,14.23077,40,38,41,41,41,3292.41,3491.94971,3292.41,3292.41,7.40856934,2.63225412,0.009760247,1.15689051,99.77,87.78642,6.94413,0.9661255,41,51.05904
01/07/2020 00:21:00,13.8461533,7.69230747,13.8461533,13.8461533,12.3076916,40,38,41,42,42,1496.54944,1496.54944,1496.54944,1496.54944,9.956399,4.434447,0.007997253,1.19850564,99.7699661,87.89999,6.95311356,0.9571419,41,51.05919
01/07/2020 00:26:01,13.8461533,7.69230747,7.69230747,6.153846,8.846151,39,37,39,40,40,798.1599,798.1599,798.1599,798.1599,4.56274652,0.7357374,0.0108514065,1.02261019,99.76999,87.8371048,6.948139,0.962116241,41,51.0594063
01/07/2020 00:31:01,44.6153831,21.53846,29.2307682,23.0769215,29.61538,41,38,41,41,41,997.7031,997.7031,997.7031,997.7031,14.3847961,7.628416,0.008495029,1.52543008,99.77032,88.0663147,6.96627045,0.943985,41,51.05879
01/07/2020 00:36:01,12.3076916,3.076923,10.76923,13.8461533,10.0000019,40,37,40,40,40,798.160156,798.160156,798.160156,798.160156,4.79174232,0.8414386,0.009254554,1.03282034,99.77002,88.00425,6.961361,0.9488945,41,51.05923
01/07/2020 00:41:01,15.3846149,6.153846,4.615384,12.3076916,9.615385,39,36,39,39,39,798.160339,798.160339,798.160339,798.160339,4.356996,0.7120159,0.00181282172,1.013609,99.77004,87.95318,6.957321,0.952934265,40,51.0595131
